Country,Currency,Code,Start date,End date,Conversion,Note
FI,Euro,EUR,01/01/1999,,1 EUR = 5.94573 FIM,
FR,Franc germinal,FRG,1803-04-07,31/12/1959,,
FR,German Reichsmark,DER,01/06/1940,01/09/1944,1 DER = 20 FRG,German occupation
FR,French Franc,FRF,01/01/1960,17/02/2002,1 FRF = 100 FRG,
FR,Euro,EUR,01/01/1999,,1 EUR = 6.55957 FRF,
DE,North German Vereinsthaler,XDNT,1857-01-24,1871-12-04,,North Germany
DE,South German Vereinsgulden,XDSG,1857-01-24,1871-12-04,,South Germany
DE,Hamburg Schilling,HAMS,1510,1871-12-04,,Hamburg
DE,German Paper Mark,DEP,1871-12-04,15/10/1923,1 DEP = 1/3 XDNT = 7/12 XDSG = 5/6 HAMS,
DE,Rentenmark,DEN,15/10/1923,30/08/1924,"1 DEN = 1,000,000,000,000 DEP",
DE,Reichsmark,DER,30/08/1924,20/06/1948,1 DER = 1 DEN,
DE,Deutsche Mark,DEM,20/06/1948,28/02/2002,1 DEM = 1 DER,Larger sums exchanged at 1:10 or 0.65:10
DE,Mark der DDR,DDM,19/06/1948,02/10/1990,1 DDM = 1 DER ≈ 1 DEM,"East Germany; exchanged at 1:1, 1:2 or 1:3 with DEM in 1990"
DE,Euro,EUR,01/01/1999,,1 EUR = 1.95883 DEM,
EL,Silver Drachma,GRS,1833-02-08,11/11/1944,1 GRS = 1 FRG,
EL,New Drachma,GRN,11/11/1944,01/05/1954,"1 GRN = 50,000,000,000 GRK",
EL,Drachma,GRD,01/05/1954,28/02/2002,1 GRD = 1000 GRN,
EL,Euro,EUR,01/01/2001,,1 EUR = 340.75 GRD,
EL,Ottoman Empire Lira,XOL,1844,1898-03-20,,Parts of Greece (Turkish)
EL,Crete Drachma,GKD,1898-03-20,30/05/1913,1 GKD = 1 GRS ≈ 0.029 XOL,Crete (Turkish)
EL,Italian Lira,ITL,1912,1943,1 ITL ≈ 0.044 XOL,Dodecanese (Italian)
EL,Reichsmark,DER,27/04/1941,14/10/1944,1 DER = 50 GRS,German occupation
HU,Austro-Hungarian Gulden,ATG,1867,1892-08-02,1 ATG = 2.5 FRG,Austria-Hungary
HU,Austro-Hungarian Kronen,ATK,1892-08-02,16/11/1918,1 ATK = 0.5 ATG,Austria-Hungary
HU,Hungarian Korona,HUK,16/11/1918,01/01/1927,1 HUK = 1 ATK,
HU,Hungarian Pengő,HUP,01/12/1926,23/07/1946,"1 HUP = 12,500 HUK",
HU,Forint,HUF,23/07/1946,,1 HUF = 4 x 10^29 HUP,
IS,Danish Rigsbankdaler,DKR,1776,1873-05-27,,
IS,Danish Krone,DKK,1873-05-27,01/12/1918,1 DKK = 0.5 DKR,
IS,Iceland Old Krona,ISJ,01/12/1918,31/12/1980,1 ISJ = 0.5 DKK,
IS,Iceland Krona,ISK,01/01/1981,,1 ISK = 100 ISJ,
IE,Pound Sterling,GBP,1800,1928,,
IE,Irish Pound,IEP,1928,09/02/2002,1 IEP = 1 GBP,
IE,Euro,EUR,01/01/1999,,1 EUR = 0.787564 IEP,
